ID,Predictions
1,[ 0.          0.53464259  0.9189778 ]
2,[ 0.          0.27228221  0.14764685]
3,[ 0.          0.32101684  0.17280802]
4,[ 0.          0.31014158  0.26621573]
5,[ 0.          0.68207685  1.20766832]
6,[ 0.          0.02146903  0.0173211 ]
7,[ 0.          1.07827356  1.16705183]
8,[ 0.          1.29644004  2.78912806]
9,[ 0.          0.24505402  0.26989434]
10,[ 0.          0.81091577  1.22335787]
11,[ 0.          0.31837225  0.60908305]
12,[ 0.          0.32446642  0.36079817]
13,[ 0.          0.76664049  0.72616921]
14,[ 0.          0.00511251  0.00659379]
15,[ 0.          0.48839827  0.54960795]
16,[ 0.          0.3353799   0.69458111]
17,[ 0.          0.03401232  0.00659379]
18,[ 0.          0.00511251  0.00659379]
19,[ 0.          1.29644004  1.42538313]
20,[ 0.          0.37530527  0.30021028]
21,[ 0.          0.72791376  0.75174265]
22,[ 0.          0.02146903  0.08224189]
23,[ 0.          1.56988764  0.61863275]
24,[ 0.          0.32101684  0.23671154]
25,[ 0.          0.05960436  0.3966909 ]
26,[ 0.          0.00511251  0.00659379]
27,[ 0.          0.01898936  0.00243446]
28,[ 0.          0.82111614  1.29449497]
29,[ 0.          1.29644004  1.74151539]
30,[ 0.          2.29945362  0.93422375]
31,[ 0.          0.00511251  0.00659379]
32,[ 0.          0.31014158  0.37010382]
33,[ 0.          1.56988764  1.20766832]
34,[ 0.          0.15597233  0.3759172 ]
35,[ 0.          0.76090334  0.75174265]
36,[ 0.          0.00511251  0.00659379]
37,[ 0.          1.56027007  2.15957737]
38,[ 0.          0.31837225  0.60908305]
39,[ 0.          0.00511251  0.00659379]
40,[ 0.          0.05960436  0.14764685]
41,[ 0.          0.45530497  0.39834067]
42,[ 0.          0.9781957   0.32606523]
43,[ 0.          0.62893688  0.34732147]
44,[ 0.          1.28463699  0.62938266]
45,[ 0.          0.00227841  0.00243446]
46,[ 0.          1.29644004  1.68405977]
47,[ 0.          0.89971762  0.54924976]
48,[ 0.          0.00511251  0.00659379]
49,[ 0.          0.00511251  0.00659379]
50,[ 0.          0.45276305  0.54898302]
51,[ 0.          0.00227841  0.00243446]
52,[ 0.          0.96685743  0.72616921]
53,[ 0.          0.00511251  0.00659379]
54,[ 0.          0.59435632  0.54960795]
55,[ 0.          0.05960436  0.25957647]
56,[ 0.          0.065961    0.25957647]
57,[ 0.          0.4428871   0.52123906]
58,[ 0.          0.01132417  0.00897905]
59,[ 0.          0.91535969  0.75174265]
60,[ 0.          1.84917218  1.06393738]
61,[ 0.         0.065961   0.0173211]
62,[ 0.          0.96015968  0.86332782]
63,[ 0.          0.51244585  0.49752981]
64,[ 0.          0.07184422  0.03284665]
65,[ 0.          0.01669441  0.02816371]
66,[ 0.          0.05225468  0.00897905]
67,[ 0.          0.05960436  0.0173211 ]
68,[ 0.          1.28463699  1.74151539]
69,[ 0.          0.31014158  0.37010382]
70,[ 0.          0.89971762  0.75174265]
71,[ 0.          0.01132417  0.00897905]
72,[ 0.          0.00511251  0.00659379]
73,[ 0.          0.88543661  0.94357341]
74,[ 0.          0.15597233  0.3759172 ]
75,[ 0.          0.77703853  0.6697209 ]
76,[ 0.          0.27228221  0.14764685]
77,[ 0.          0.57767278  0.75174265]
78,[ 0.          0.27228221  0.14764685]
79,[ 0.          0.37530527  0.93422375]
80,[ 0.          0.31014158  0.37010382]
81,[ 0.          0.4428871   0.49752981]
82,[ 0.          0.14568121  0.2087642 ]
83,[ 0.          1.56988764  1.74151539]
84,[ 0.          0.89971762  0.91213706]
85,[ 0.          0.89971762  0.8686082 ]
86,[ 0.          0.00511251  0.00659379]
87,[ 0.          0.00511251  0.00659379]
88,[ 0.          0.81091577  1.19492207]
89,[ 0.          0.96015968  0.40591327]
90,[ 0.          0.27228221  0.10701652]
91,[ 0.          0.00511251  0.00659379]
92,[ 0.          2.51273761  0.90964358]
93,[ 0.          0.00511251  0.00659379]
94,[ 0.          0.66792166  1.07174361]
95,[ 0.          1.72426654  0.26277118]
96,[ 0.          0.84447009  0.86332782]
97,[ 0.          0.61502536  0.49928211]
98,[ 0.          0.00511251  0.00659379]
99,[ 0.          0.00511251  0.00659379]
100,[ 0.          0.81091577  0.24017717]
101,[ 0.          1.14745549  0.51828073]
102,[ 0.          0.00227841  0.00243446]
103,[ 0.         1.6451626  1.6929264]
104,[ 0.          0.88543661  0.75174265]
105,[ 0.          0.31014158  0.37010382]
106,[ 0.          0.55632791  0.80149281]
107,[ 0.          0.31014158  0.37010382]
108,[ 0.          0.34964372  0.37010382]
109,[ 0.          2.26054476  1.4077139 ]
110,[ 0.          0.21719663  0.39834067]
111,[ 0.          0.02146903  0.0173211 ]
112,[ 0.          0.3387321   0.24017717]
113,[ 0.          0.77743692  0.8686082 ]
114,[ 0.          1.29644004  1.42538313]
115,[ 0.          0.21719663  0.42264255]
116,[ 0.          0.27228221  1.2644586 ]
117,[ 0.          0.96015968  0.75174265]
118,[ 0.          0.42724266  0.00897905]
119,[ 0.          0.27228221  0.26989434]
120,[ 0.          1.95618004  1.29449497]
121,[ 0.          0.24505402  0.26989434]
122,[ 0.          0.02146903  0.08224189]
123,[ 0.          0.05960436  0.02430894]
124,[ 0.          0.00511251  0.00659379]
125,[ 0.          0.48839827  0.10701652]
126,[ 0.          0.05960436  0.0173211 ]
127,[ 0.          0.48178143  0.75174265]
128,[ 0.          1.29644004  1.42538313]
129,[ 0.          0.00511251  0.00659379]
130,[ 0.          2.634593    0.72616921]
131,[ 0.          2.60753332  1.0384397 ]
132,[ 0.          0.00227841  0.00243446]
133,[ 0.          1.56988764  1.20766832]
134,[ 0.          0.91535969  0.80149281]
135,[ 0.          1.00812245  0.36197876]
136,[ 0.          0.62893688  1.20766832]
137,[ 0.          0.88543661  0.75174265]
138,[ 0.          0.44113302  0.59545007]
139,[ 0.          1.51089479  2.04600533]
140,[ 0.          0.89971762  0.91213706]
141,[ 0.          1.29644004  0.9189778 ]
142,[ 0.          1.29644004  1.46908896]
143,[ 0.          0.00511251  0.00659379]
144,[ 0.          0.00511251  0.00659379]
145,[ 0.          0.96015968  0.75174265]
146,[ 0.          1.68390898  1.4077139 ]
147,[ 0.          0.37863406  0.41801714]
148,[ 0.          0.28419516  0.25630672]
149,[ 0.          0.03647286  0.00897905]
150,[ 0.          0.55632791  0.47465652]
151,[ 0.          0.72791376  0.6697209 ]
152,[ 0.          0.77703853  0.49752981]
153,[ 0.          0.66792166  0.77628001]
154,[ 0.          0.01854194  0.0173211 ]
155,[ 0.          0.36240396  0.39834067]
156,[ 0.          0.53302922  0.26014697]
157,[ 0.          0.27228221  1.36583969]
158,[ 0.          0.31837225  0.25957647]
159,[ 0.          0.15559844  0.13147238]
160,[ 0.          0.00511251  0.00659379]
161,[ 0.          1.35302847  0.93422375]
162,[ 0.          1.56988764  1.42538313]
163,[ 0.          0.32101684  0.28413247]
164,[ 0.          0.66344017  0.69458111]
165,[ 0.          0.00511251  0.00659379]
166,[ 0.          0.00511251  0.00659379]
167,[ 0.          0.77703853  0.6697209 ]
168,[ 0.          0.62893688  0.9883429 ]
169,[ 0.          0.76090334  0.75174265]
170,[ 0.          0.96015968  0.75174265]
171,[ 0.          1.68390898  1.14340548]
172,[ 0.          0.21719663  0.49752981]
173,[ 0.          0.00511251  0.00659379]
174,[ 0.          0.28419516  0.25630672]
